year,month,prob,prediction,non_eddy,cyclonic,anticyclonic,mode_water
1988,10,0.712,non_eddy,0.712,0.288,0,0
1988,11,1,non_eddy,1,0,0,0
1988,12,0.818,non_eddy,0.818,0.176,0.006,0
1989,1,0.924,non_eddy,0.924,0,0.076,0
1989,2,0.758,anticyclonic,0.242,0,0.758,0
1989,3,0.876,non_eddy,0.876,0,0.124,0
1989,4,0.98,cyclonic,0.02,0.98,0,0
1989,5,0.988,cyclonic,0.012,0.988,0,0
1989,6,0.678,cyclonic,0.318,0.678,0.002,0.002
1989,7,0.982,non_eddy,0.982,0.018,0,0
1989,8,0.782,non_eddy,0.782,0.218,0,0
1989,10,0.998,non_eddy,0.998,0,0.002,0
1989,11,0.562,non_eddy,0.562,0,0.432,0.006
1989,12,0.804,cyclonic,0.192,0.804,0.004,0
1990,1,0.934,non_eddy,0.934,0.064,0.002,0
1990,2,0.5,non_eddy,0.5,0.242,0.25,0.008
1990,3,0.872,non_eddy,0.872,0.008,0.104,0.016
1990,4,0.84,non_eddy,0.84,0,0.16,0
1990,5,0.962,cyclonic,0.038,0.962,0,0
1990,6,0.998,non_eddy,0.998,0,0.002,0
1990,7,1,non_eddy,1,0,0,0
1990,9,0.992,non_eddy,0.992,0.004,0.004,0
1990,10,0.992,non_eddy,0.992,0.008,0,0
1990,11,1,non_eddy,1,0,0,0
1990,12,0.978,non_eddy,0.978,0,0.02,0.002
1991,1,0.944,anticyclonic,0.056,0,0.944,0
1991,3,1,non_eddy,1,0,0,0
1991,4,0.99,anticyclonic,0.01,0,0.99,0
1991,6,0.998,non_eddy,0.998,0.002,0,0
1991,7,1,non_eddy,1,0,0,0
1991,8,1,non_eddy,1,0,0,0
1991,9,1,non_eddy,1,0,0,0
1991,10,0.546,cyclonic,0.546,0.454,0,0
1991,11,0.766,cyclonic,0.234,0.766,0,0
1991,12,0.998,non_eddy,0.998,0,0.002,0
1992,1,0.994,non_eddy,0.994,0,0.006,0
1992,3,0.964,non_eddy,0.964,0.034,0.002,0
1992,4,0.932,non_eddy,0.932,0,0.068,0
1992,6,0.848,non_eddy,0.848,0.15,0.002,0
1992,7,1,cyclonic,0,1,0,0
1992,8,0.884,non_eddy,0.884,0,0.116,0
1992,9,0.996,non_eddy,0.996,0.004,0,0
1992,10,0.918,cyclonic,0.082,0.918,0,0
1992,11,1,non_eddy,1,0,0,0
1992,12,0.514,cyclonic,0.486,0.514,0,0
